   rp_mid       DD      RR      DR      xi_rp 
    1.206       0        0       0    0.00000
    1.704       0        0       0    0.00000
    2.407       0        0       0    0.00000
    3.400       0        0       0    0.00000
    4.802       0        0       0    0.00000
    6.783       0        0       0    0.00000
    9.582       0        0       0    0.00000
   13.535       0        0       0    0.00000
   19.118       0        0       0    0.00000
   27.005       0        0       0    0.00000
   38.146       0        0       0    0.00000
   53.882       0        0       0    0.00000
   76.110       2        0       0    0.00000
  107.509       0        0       1    0.00000
  151.860       2        1       1    1.00000
  214.508       2        5       2    0.60000
  303.001       1        8       5   -0.12500
  428.000       7       11       7    0.36364
  604.567      20       16      19   -0.12500
  853.973      28       48      34    0.16667
 1206.269      76       61      85   -0.54098
 1703.900     141      147     132    0.16327
 2406.823     258      273     273   -0.05495
 3399.727     582      541     549    0.04621
 4802.242    1067     1054    1060    0.00095
 6783.348    2057     2123    2109   -0.01790
 9581.733    4057     4005    4017    0.00699
13534.558    7654     7526    7638   -0.01276
19118.072   14248    14107   14390   -0.03013
27004.994   25503    25959   25843   -0.00863
38145.568   44344    44885   45244   -0.02805
53882.047   76796    74752   76273   -0.01335
76110.414   135012    129062   130428    0.02493
