   rp_mid       DD      RR      DR      xi_rp 
    1.206       0        0       0        nan
    1.704       0        0       0        nan
    2.407       0        0       0        nan
    3.400       0        0       0        nan
    4.802       0        0       0        nan
    6.783       0        0       0        nan
    9.582       0        0       0        nan
   13.535       0        0       0        nan
   19.118       0        0       0        nan
   27.005       0        0       0        nan
   38.146       0        0       0        nan
   53.882       1        0       0        inf
   76.110       1        1       2   -2.00000
  107.509       0        0       1       -inf
  151.860       1        0       3       -inf
  214.508       1        5       0    1.20000
  303.001       3        3       5   -1.33333
  428.000      11        7       3    1.71429
  604.567      12       15       5    1.13333
  853.973      26       27      14    0.92593
 1206.269      61       42      41    0.50000
 1703.900      88       71      86   -0.18310
 2406.823     172      165     181   -0.15152
 3399.727     373      291     315    0.11684
 4802.242     643      521     521    0.23417
 6783.348    1029      849     997   -0.13663
 9581.733    1465     1653    1501    0.07018
13534.558    2638     3000    2878   -0.03933
19118.072    1225     1100    1197   -0.06273
27004.994       0        0       0        nan
