   s_mid       DD      RR      DR      xi_s 
    1.129       0        0       0        nan
    1.422       0        0       0        nan
    1.790       0        0       0        nan
    2.254       0        0       0        nan
    2.837       0        0       0        nan
    3.572       0        0       0        nan
    4.496       0        0       0        nan
    5.661       0        0       0        nan
    7.126       0        0       0        nan
    8.972       0        0       0        nan
   11.295       0        0       0        nan
   14.219       0        0       0        nan
   17.901       0        0       0        nan
   22.536       0        0       0        nan
   28.371       0        0       0        nan
   35.717       0        0       0        nan
   44.965       0        0       0        nan
   56.607       0        0       0        nan
   71.264       1        0       1       -inf
   89.716       0        0       0        nan
  112.946       1        0       0        inf
  142.191       0        1       1   -1.00000
  179.008       0        1       0    1.00000
  225.357       2        4       1    1.00000
  283.708       1        2       3   -1.50000
  357.167       3        3       1    1.33333
  449.647       9        4       4    1.25000
  566.072      10       10      11   -0.20000
  712.643       7       12      15   -0.91667
  897.164      21       14      17    0.07143
 1129.463      32       20      32   -0.60000
 1421.909      51       31      55   -0.90323
 1790.078      66       59      86   -0.79661
 2253.574      98       95      84    0.26316
 2837.082     177      161     156    0.16149
 3571.675     271      250     266   -0.04400
 4496.472     379      352     352    0.07670
 5660.723     574      496     518    0.06855
 7126.428     719      629     689   -0.04769
 8971.641     975      913     902    0.09200
11294.627    1107     1341    1197    0.04027
14219.093    2013     2148    2177   -0.08985
