r min,r max,DD count,DR count,RR count,Landy Szalay,Pois Error
0.01,0.51,13.0,170,713.0,0.43908415557524033,0.399130131741102
0.51,1.01,91.0,1034,4880.0,0.74599615173689,0.18303012908406036
1.01,1.51,237.0,2645,13282.0,0.7930431262857752,0.11647066693466361
1.51,2.01,392.0,5188,25592.0,0.504611733674758,0.0759943685667335
2.01,2.51,653.0,8388,41845.0,0.556060653529271,0.060893358915175194
2.51,3.01,894.0,12357,61782.0,0.44700140900521274,0.048394966616442325
3.01,3.51,1116.0,17354,86063.0,0.28036310552865407,0.03832666704540223
3.51,4.01,1622.0,22985,113280.0,0.4028817850897619,0.034833382720442924
4.01,4.51,1946.0,29151,144961.0,0.3315458294842881,0.030184549657655286
4.51,5.01,2300.0,36575,180999.0,0.2500631454733222,0.026065618431271358
5.01,5.51,2740.0,44554,219312.0,0.21789303967193244,0.023266650548949074
5.51,6.01,3316.0,52597,261365.0,0.25639451570079136,0.021818192594045833
6.01,6.51,3808.0,61993,306619.0,0.22017303724440698,0.01977301765299446
6.51,7.01,4337.0,71800,356040.0,0.20155911548105224,0.018245275748971525
7.01,7.51,4800.0,82968,409318.0,0.14576380584302187,0.016537676043279968
7.51,8.01,5518.0,93388,464941.0,0.17828176401223406,0.01586201324519083
8.01,8.51,6104.0,105640,523397.0,0.14793694150610104,0.014693009844214108
8.51,9.01,6871.0,117132,585345.0,0.17282419367390572,0.014148908628536365
9.01,9.51,7810.0,131749,650212.0,0.17496406434722525,0.013295328343549283
9.51,10.01,8559.0,145683,718600.0,0.16381269353725492,0.012579737432033845
10.01,10.51,9098.0,159427,789776.0,0.13339847551350315,0.011882550204946985
10.51,11.01,10019.0,175134,864438.0,0.133094385548053,0.011320194773836207
11.01,11.51,10755.0,191061,941530.0,0.11309034546960388,0.010733100810815228
11.51,12.01,11576.0,206460,1020206.0,0.11102504553465693,0.010326296484450223
12.01,12.51,12451.0,223302,1102609.0,0.10407696418369061,0.009894576990973427
12.51,13.01,13343.0,240352,1187102.0,0.09936304049889998,0.009517313809372265
13.01,13.51,14647.0,258464,1277511.0,0.12340389867151004,0.009282427928959211
13.51,14.01,15289.0,278022,1369730.0,0.08650807461338873,0.008787056479858724
14.01,14.51,16628.0,295677,1460522.0,0.11409729780960987,0.00863978853524592
14.51,15.01,17524.0,316537,1555040.0,0.09142188547760656,0.008244722368618743
15.01,15.51,18610.0,335984,1651175.0,0.09231943821064341,0.008007122551698328
15.51,16.01,19658.0,356048,1752688.0,0.09021244387094078,0.007775735326140931
16.01,16.51,20686.0,377838,1855811.0,0.07874885080139228,0.007627906275988597
16.51,17.01,21722.0,398382,1959935.0,0.07573346717503084,0.007606584293887807
17.01,17.51,23011.0,419098,2067787.0,0.08609760559367757,0.007679869819457617
17.51,18.01,23968.0,442352,2178262.0,0.06962981450030784,0.007563424951924766
18.01,18.51,25234.0,465423,2288812.0,0.06908336282225624,0.007559560955053355
18.51,19.01,26263.0,487689,2403039.0,0.06349941630554902,0.007520076490575889
19.01,19.51,27616.0,511647,2516136.0,0.06415227975113867,0.007524692932271541
19.51,20.01,28675.0,535316,2635543.0,0.05692899328608867,0.007473616583852641
20.01,20.51,30208.0,558384,2751567.0,0.06857578317996255,0.007555971824982774
20.51,21.01,31303.0,585149,2875059.0,0.053577727620033946,0.007449919557072393
21.01,21.51,32640.0,610167,2996340.0,0.05301380874479094,0.007445932048465159
21.51,22.01,33787.0,636542,3120983.0,0.043078375051211336,0.007375677923077565
22.01,22.51,35265.0,660010,3248485.0,0.05389487743825853,0.007452162144943581
22.51,23.01,36753.0,686142,3376437.0,0.056425369070957895,0.007470055422875756
23.01,23.51,38024.0,713837,3504743.0,0.048214607577738954,0.00741199657157015
23.51,24.01,39404.0,741288,3634130.0,0.04454006633399004,0.007386013641258105
24.01,24.51,40701.0,768363,3765934.0,0.040527949190873463,0.00735764368886998
24.51,25.01,42271.0,796807,3900452.0,0.0409470669967098,0.007360607299296208
25.01,25.51,43267.0,822557,4032758.0,0.03325858856037521,0.0073062415469028206
25.51,26.01,45296.0,850779,4171828.0,0.04647468235557878,0.007399693442336681
26.01,26.51,46399.0,879264,4312733.0,0.03715643169662874,0.007333803460039283
