r min,r max,DD count,DR count,RR count,Landy Szalay,Pois Error
0.01,0.51,51.0,574,3005.0,0.7870645933007724,0.25023909588706866
0.51,1.01,320.0,4013,19968.0,0.5928896405749423,0.08904523792451946
1.01,1.51,872.0,10782,54079.0,0.6187472327345408,0.05481769832699072
1.51,2.01,1582.0,21222,104439.0,0.4827994344927634,0.0372802805672548
2.01,2.51,2480.0,34469,171186.0,0.4352134045103192,0.028819778690066227
2.51,3.01,3442.0,51237,253496.0,0.33663263175204894,0.022782775282720043
3.01,3.51,4793.0,70803,352476.0,0.351112003638866,0.019515857479822873
3.51,4.01,6197.0,94051,465328.0,0.31060734551454033,0.016648758345546057
4.01,4.51,7766.0,119511,594263.0,0.29578395712310607,0.014703946220313114
4.51,5.01,9566.0,149484,737960.0,0.2706722059977519,0.012991770562613005
5.01,5.51,11163.0,180929,895555.0,0.22622244373928396,0.011605899311135022
5.51,6.01,13333.0,216118,1067979.0,0.2248493677778308,0.010607639279368827
6.01,6.51,15362.0,253377,1254737.0,0.2049894916537362,0.009722084225597883
6.51,7.01,17627.0,293559,1455412.0,0.1941505228186546,0.008994351811333911
7.01,7.51,20064.0,337450,1670473.0,0.18104248400221265,0.008337901506135855
7.51,8.01,22596.0,382620,1898902.0,0.17502873121996626,0.007816866642497197
8.01,8.51,25319.0,432551,2140129.0,0.1619466784241649,0.007302354702263897
8.51,9.01,28061.0,485121,2394447.0,0.14592608099217516,0.006840770681164504
9.01,9.51,31507.0,537011,2659392.0,0.16547628848899046,0.006565985446598896
9.51,10.01,33975.0,593689,2935063.0,0.13484013388678248,0.006156798690049206
10.01,10.51,37025.0,652580,3227320.0,0.12521833063740437,0.005847756292434188
10.51,11.01,40509.0,713876,3533363.0,0.12611554330214242,0.005630577716510712
11.01,11.51,43619.0,777888,3844582.0,0.11125256072145943,0.005556262803607297
11.51,12.01,47724.0,844110,4175407.0,0.12138588751576597,0.00560692943757883
12.01,12.51,51322.0,913029,4519081.0,0.11531753980774745,0.0055765876990387375
12.51,13.01,54918.0,983931,4862897.0,0.10601400088552461,0.005530070004427623
13.01,13.51,58465.0,1058347,5221566.0,0.09283690146092903,0.005464184507304645
13.51,14.01,62840.0,1132280,5593295.0,0.09916600153126878,0.005495830007656344
14.01,14.51,66740.0,1207349,5971876.0,0.09587713349694801,0.00547938566748474
14.51,15.01,70437.0,1288878,6366678.0,0.08195619586261167,0.005409780979313058
15.01,15.51,74745.0,1370747,6768491.0,0.07914961386954791,0.00539574806934774
15.51,16.01,79950.0,1454536,7181697.0,0.0879392788915072,0.005439696394457536
16.01,16.51,83826.0,1539537,7599549.0,0.0772422286691396,0.005386211143345698
16.51,17.01,88728.0,1626396,8021023.0,0.07855647626132914,0.005392782381306646
17.01,17.51,92909.0,1717295,8459890.0,0.06833327417392687,0.005341666370869635
17.51,18.01,97125.0,1808487,8911933.0,0.0605734747880644,0.0053028673739403225
18.01,18.51,102472.0,1901636,9366242.0,0.06377799214073203,0.00531888996070366
18.51,19.01,107491.0,1992954,9827852.0,0.06590490827970562,0.005329524541398528
19.01,19.51,112689.0,2089493,10300665.0,0.06552400198568872,0.005327620009928443
19.51,20.01,117387.0,2184954,10779213.0,0.06203530361661708,0.005310176518083085
20.01,20.51,122112.0,2288028,11260862.0,0.05258158385823134,0.005262907919291157
20.51,21.01,127650.0,2385832,11760127.0,0.0567301582270745,0.0052836507911353725
21.01,21.51,132789.0,2489622,12265978.0,0.05291213006166877,0.005264560650308344
21.51,22.01,137529.0,2592907,12780227.0,0.04729425155446756,0.0052364712577723386
22.01,22.51,143067.0,2697847,13293959.0,0.046831674068854745,0.005234158370344274
22.51,23.01,147797.0,2805587,13817936.0,0.039236590127410445,0.005196182950637052
23.01,23.51,153587.0,2913718,14347202.0,0.03966908825424523,0.005198345441271226
23.51,24.01,159616.0,3017507,14874020.0,0.04443886606671395,0.005222194330333569
24.01,24.51,164491.0,3128360,15419549.0,0.03797110557532182,0.005189855527876609
24.51,25.01,171038.0,3242957,15966234.0,0.0401428363787059,0.00520071418189353
25.01,25.51,175914.0,3356357,16523861.0,0.03341656803578844,0.005167082840178943
25.51,26.01,181651.0,3472432,17078797.0,0.030451356484190423,0.005152256782420952
26.01,26.51,187354.0,3585732,17636965.0,0.02923157132414374,0.005146157856620719
26.51,27.01,193078.0,3700265,18207528.0,0.028186415145752368,0.005140932075728761
27.01,27.51,198537.0,3822808,18777629.0,0.02150384852198251,0.005107519242609913
27.51,28.01,203892.0,3938233,19346734.0,0.018305995435416035,0.005091529977177081
28.01,28.51,210814.0,4060519,19928530.0,0.020338472347613344,0.005101692361738067
28.51,29.01,217284.0,4179255,20519168.0,0.022204184038920795,0.0051110209201946045
29.01,29.51,223295.0,4303547,21116161.0,0.01945434186572369,0.005097271709328618
29.51,30.01,229102.0,4425088,21710470.0,0.017061635219657343,0.005085308176098286
30.01,30.51,234677.0,4544378,22304922.0,0.014771790993078201,0.005073858954965391
30.51,31.01,241502.0,4676753,22908225.0,0.012727101812114726,0.005063635509060574
31.01,31.51,246970.0,4795340,23518132.0,0.01115767102133819,0.005055788355106691
31.51,32.01,253304.0,4924152,24122812.0,0.008804323975525899,0.00504402161987763
32.01,32.51,261584.0,5050900,24723160.0,0.015098185313466132,0.005075490926567331
32.51,33.01,265493.0,5175352,25334662.0,0.00517744258772238,0.005025887212938613
33.01,33.51,273034.0,5302566,25956246.0,0.009043407355923136,0.005045217036779615
33.51,34.01,278662.0,5430169,26575035.0,0.005279682958089195,0.005026398414790446
34.01,34.51,285432.0,5556174,27186657.0,0.006212538099331463,0.0050310626904966575
34.51,35.01,291360.0,5682874,27808639.0,0.00419641710043449,0.005020982085502172
35.01,35.51,297473.0,5814979,28430256.0,0.0010052918784227286,0.005005026459392114
35.51,36.01,303882.0,5940340,29053167.0,0.0013354571669861798,0.0050066772858349306
36.01,36.51,310171.0,6074289,29676929.0,-0.0016177967935107256,0.004991911016032446
36.51,37.01,316696.0,6197190,30307226.0,0.00019115948007232222,0.0050009557974003615
37.01,37.51,323475.0,6328775,30939441.0,2.4905531072828545e-06,0.005000012452765537
37.51,38.01,329616.0,6461118,31551686.0,-0.003074029625822039,0.00498462985187089
38.01,38.51,335925.0,6586613,32185578.0,-0.0027071592291661594,0.004986464203854169
38.51,39.01,342076.0,6722752,32818381.0,-0.006112466088980569,0.004969437669555097
39.01,39.51,346760.0,6844846,33428459.0,-0.01026220351181197,0.00494868898244094
39.51,40.01,355314.0,6970692,34072800.0,-0.002986143088125601,0.004985069284559372
40.01,40.51,360405.0,7094095,34694562.0,-0.005905816482182758,0.004970470917589086
40.51,41.01,366427.0,7226680,35322496.0,-0.008510124868807955,0.00495744937565596
41.01,41.51,373447.0,7355734,35955160.0,-0.007132657173353735,0.0049643367141332315
41.51,42.01,379230.0,7483849,36587107.0,-0.008946939011679079,0.0049552653049416044
42.01,42.51,386178.0,7600856,37210750.0,-0.004809122535206656,0.004975954387323967
42.51,43.01,392420.0,7726052,37828211.0,-0.005002427464143629,0.004974987862679282
43.01,43.51,398107.0,7858114,38460408.0,-0.008032670480404515,0.004959836647597977
43.51,44.01,404492.0,7980635,39077055.0,-0.00713936488744484,0.004964303175562776
44.01,44.51,410913.0,8104317,39707563.0,-0.006124269442336714,0.0049693786527883164
44.51,45.01,416425.0,8233383,40323801.0,-0.009086102417540133,0.004954569487912299
45.01,45.51,423034.0,8349638,40938346.0,-0.006191588901851214,0.004969042055490744
45.51,46.01,429343.0,8478230,41566751.0,-0.006737861189796905,0.004966310694051015
46.01,46.51,435248.0,8603466,42166278.0,-0.008119938422516135,0.00495940030788742
46.51,47.01,441300.0,8719815,42786365.0,-0.006557557642516561,0.004967212211787417
