r min,r max,DD count,DR count,RR count,Landy Szalay,Pois Error
0.01,0.51,9.0,114,553.0,0.5660982301361563,0.5220327433787187
0.51,1.01,61.0,742,3735.0,0.6466808261052748,0.21083587521984304
1.01,1.51,172.0,1939,9795.0,0.7765172380933141,0.13545816949022893
1.51,2.01,274.0,3864,18870.0,0.40443111622411687,0.08484478658713505
2.01,2.51,488.0,6321,31084.0,0.5365089719299548,0.06955449303735081
2.51,3.01,625.0,9296,45877.0,0.336131645960368,0.05344526583841472
3.01,3.51,889.0,13081,64267.0,0.3479588474506762,0.045209088726827766
3.51,4.01,1119.0,16895,84642.0,0.3260634123201757,0.03964142422130319
4.01,4.51,1428.0,21603,108049.0,0.3223306154324681,0.03499257881016661
4.51,5.01,1784.0,26934,134235.0,0.3226104725886374,0.03131371050130251
5.01,5.51,2005.0,32940,162748.0,0.20805222265923426,0.026979165996030247
5.51,6.01,2451.0,39431,194641.0,0.23348484440333556,0.024915072894800275
6.01,6.51,2912.0,45809,227538.0,0.2666167150600634,0.023471969362745017
6.51,7.01,3265.0,53548,264726.0,0.21065430403225097,0.021187443505257014
7.01,7.51,3674.0,61516,303624.0,0.18406386459661764,0.019534646269044383
7.51,8.01,4163.0,70242,344503.0,0.16954335079744248,0.0181264650812745
8.01,8.51,4630.0,79136,389404.0,0.15683474368512954,0.017001248996152202
8.51,9.01,5060.0,88016,435381.0,0.1406854472880726,0.016035800422451438
9.01,9.51,5871.0,97985,484221.0,0.1889766620177242,0.01551734049513765
9.51,10.01,6213.0,108213,534544.0,0.13797141172643682,0.01443712361280031
10.01,10.51,6759.0,118708,587424.0,0.12986389237852752,0.013743106331464085
10.51,11.01,7467.0,130405,642221.0,0.1322230783131697,0.01310264357514999
11.01,11.51,8096.0,141794,699617.0,0.13053754839268877,0.012564631076622163
11.51,12.01,8799.0,154133,760376.0,0.1301981773814723,0.012048637653211047
12.01,12.51,9583.0,166536,822127.0,0.14003343410016575,0.011645733408988343
12.51,13.01,10070.0,180259,884145.0,0.1002284986956217,0.010963977984359125
13.01,13.51,10686.0,193220,947740.0,0.08884862847826683,0.010533190129519376
13.51,14.01,11684.0,207381,1017811.0,0.11050409854819218,0.01027364113803708
14.01,14.51,12190.0,220143,1087671.0,0.09682669517300711,0.009934274571338775
14.51,15.01,12906.0,235610,1157907.0,0.07987352443772758,0.009505545897998955
15.01,15.51,13577.0,250611,1229782.0,0.06623562715917705,0.009150636018690234
15.51,16.01,14684.0,265358,1304733.0,0.09169911284960319,0.009009086763179583
16.01,16.51,15278.0,281227,1380786.0,0.06982239414301776,0.008655226385023742
16.51,17.01,16508.0,296714,1457367.0,0.09683760482174007,0.008536799896247203
17.01,17.51,17043.0,313395,1536490.0,0.06960318689826446,0.008193126611785902
17.51,18.01,18272.0,328730,1619011.0,0.09822214440890202,0.008263852391839929
18.01,18.51,19043.0,346844,1701309.0,0.08069415203817203,0.008131958546487747
18.51,19.01,19969.0,363824,1785377.0,0.08074449692679513,0.008132337379431868
19.01,19.51,20757.0,381544,1871335.0,0.07038952773576308,0.008054418774937878
19.51,20.01,21777.0,401149,1963530.0,0.06614296453145205,0.008022464427931031
20.01,20.51,22177.0,417466,2050993.0,0.04591417793803165,0.007870247768191365
20.51,21.01,23554.0,435598,2137856.0,0.06427968103295185,0.008008443676415367
21.01,21.51,24456.0,454702,2229392.0,0.057469651056802885,0.007957199870420916
21.51,22.01,25446.0,473163,2322464.0,0.05838216261112719,0.007964066296151972
