r min,r max,DD count,DR count,RR count,Landy Szalay,Pois Error
0.01,0.51,32.0,343,1700.0,0.8647690803137884,0.32964771550922034
0.51,1.01,186.0,2323,11421.0,0.5946620656627224,0.11692629568171505
1.01,1.51,468.0,6041,30538.0,0.5543783290807592,0.07185116367911175
1.51,2.01,871.0,11886,58666.0,0.4586815069563784,0.049425537340263115
2.01,2.51,1341.0,19348,95959.0,0.38124269810479283,0.03771860360904302
2.51,3.01,1936.0,28653,141730.0,0.34436437799764663,0.030553735863582877
3.01,3.51,2699.0,39987,196079.0,0.33720301597778973,0.0257392510105904
3.51,4.01,3385.0,52785,259730.0,0.2710195774015758,0.02184604900335619
4.01,4.51,4280.0,67128,333103.0,0.2697005971967057,0.01940793993098898
4.51,5.01,5170.0,83197,412477.0,0.2364381135199069,0.017195987164955226
5.01,5.51,6188.0,100684,501762.0,0.22668898950529126,0.015594064084636351
5.51,6.01,7293.0,121101,597233.0,0.19347376389001308,0.013975255919630536
6.01,6.51,8599.0,141314,703013.0,0.21308782103118323,0.013081822981325365
6.51,7.01,9648.0,164651,813304.0,0.1618440747020778,0.011828487086251534
7.01,7.51,11294.0,188889,934251.0,0.18710301560227147,0.011170291754927791
7.51,8.01,12637.0,214567,1059562.0,0.1676514111463749,0.010387025929695677
8.01,8.51,13987.0,241518,1196403.0,0.15042842002130258,0.009727412086798443
8.51,9.01,15735.0,270589,1337271.0,0.1532503331089105,0.009193697606481784
9.01,9.51,17347.0,301753,1489019.0,0.13851475445786188,0.008644233187608664
9.51,10.01,19029.0,331940,1643647.0,0.1382384134608162,0.00825135467382924
10.01,10.51,20873.0,365222,1803816.0,0.13248069379251343,0.007838597604736855
10.51,11.01,22674.0,400517,1975687.0,0.1204636032094873,0.007441040742386607
11.01,11.51,24420.0,435734,2152086.0,0.11004847710953383,0.007103446526914727
11.51,12.01,26557.0,472940,2333646.0,0.11143139890217059,0.006820137885126426
12.01,12.51,28570.0,511675,2522868.0,0.10433394402340054,0.006533491059345754
12.51,13.01,30486.0,550436,2717593.0,0.09638779939283347,0.006329997911156738
13.01,13.51,32690.0,591730,2916253.0,0.0919230250607345,0.006304220524531656
13.51,14.01,35173.0,633283,3125038.0,0.09908187738861118,0.0063455521777175386
14.01,14.51,37185.0,676212,3336962.0,0.08794709053283307,0.006281265455832013
14.51,15.01,39280.0,721251,3557893.0,0.0768783337857915,0.006217359958957024
15.01,15.51,41661.0,766872,3785045.0,0.07465579658002446,0.006204528134416689
15.51,16.01,44313.0,813447,4009110.0,0.07635112489591135,0.00621431611701211
16.01,16.51,46787.0,861191,4246273.0,0.07376635276288696,0.006199392928144154
16.51,17.01,49085.0,910608,4484444.0,0.06400829478719401,0.006143054754153812
17.01,17.51,51957.0,959723,4729359.0,0.06935757403118264,0.006173938832268685
17.51,18.01,54740.0,1012156,4977912.0,0.06640333617940933,0.00615688253207897
18.01,18.51,57655.0,1063223,5232362.0,0.06991878840423468,0.006177179004962232
18.51,19.01,59926.0,1116702,5491088.0,0.057708965398624336,0.006106685558971763
19.01,19.51,62981.0,1170874,5758589.0,0.06046220322923596,0.00612258138499823
19.51,20.01,65432.0,1225779,6025395.0,0.051621870739332054,0.006071541701570512
20.01,20.51,68361.0,1281433,6293738.0,0.05016983615613808,0.0060631583759957145
20.51,21.01,71082.0,1336844,6571994.0,0.047475973741775285,0.006047605354094794
21.01,21.51,73855.0,1393816,6854194.0,0.044031731946758336,0.006027720014819721
21.51,22.01,77160.0,1453424,7138075.0,0.04484611539986945,0.0060324218598784935
22.01,22.51,79799.0,1512348,7424929.0,0.037931516460314646,0.005992500404287592
22.51,23.01,83530.0,1570160,7720303.0,0.04818540632666183,0.006051701265033354
23.01,23.51,86103.0,1630380,8022603.0,0.041060945382762566,0.006010568170595443
23.51,24.01,88952.0,1693057,8311027.0,0.03320652190503409,0.005965220635503484
24.01,24.51,92711.0,1755051,8613084.0,0.03877944810144765,0.005997395939900217
24.51,25.01,95825.0,1818342,8923936.0,0.03623559110944082,0.005982708974709066
25.01,25.51,98831.0,1880071,9236799.0,0.03459512022690574,0.0059732377116527725
25.51,26.01,102478.0,1944174,9542254.0,0.03654128783913544,0.005984473915600861
26.01,26.51,105275.0,2009456,9864491.0,0.030190490051085005,0.005947807567475864
26.51,27.01,108169.0,2072972,10171754.0,0.025494876978338833,0.005920697432760261
27.01,27.51,111181.0,2139532,10499882.0,0.02124470273587884,0.00589615904033039
27.51,28.01,115318.0,2207194,10817585.0,0.025686374423267332,0.0059218030437740475
28.01,28.51,118549.0,2278192,11143497.0,0.019465038541189278,0.005885884144311678
28.51,29.01,121765.0,2340628,11473274.0,0.02126135295908047,0.005896255170438865
29.01,29.51,125248.0,2411414,11799230.0,0.017827107107148847,0.005876427542768104
29.51,30.01,128441.0,2480593,12131547.0,0.01402830342064888,0.005854495139458112
30.01,30.51,131825.0,2546498,12467198.0,0.014854851222352177,0.005859267215416226
30.51,31.01,135254.0,2617156,12797588.0,0.011871066177406688,0.005842040324427193
31.01,31.51,138197.0,2690158,13133534.0,0.0039713817129108904,0.005796431474906296
31.51,32.01,142687.0,2758228,13471193.0,0.011738605200186178,0.00584127556061864
32.01,32.51,145577.0,2828661,13821139.0,0.006711460919261926,0.005812251329580173
32.51,33.01,149918.0,2901205,14162794.0,0.010103266052279854,0.0058318339256460405
33.01,33.51,151970.0,2973667,14500921.0,-0.0026338983964644238,0.005758295872414089
33.51,34.01,156023.0,3042173,14841831.0,0.0015476857518109883,0.005782438259750548
34.01,34.51,160424.0,3111804,15190766.0,0.007617194211465899,0.005817480583180853
34.51,35.01,163830.0,3187201,15532689.0,0.002850552561560986,0.0057899603647838215
35.01,35.51,168100.0,3258562,15885721.0,0.006969399471632131,0.005813740538506627
