r min,r max,DD count,DR count,RR count,Landy Szalay,Pois Error
0.01,0.51,1.0,10,51.0,1.000452199977655,2.000452199977655
0.51,1.01,4.0,52,332.0,0.6388404086897488,0.8194202043448744
1.01,1.51,13.0,196,854.0,0.22753515980999736,0.3404569970099868
1.51,2.01,24.0,312,1672.0,0.5697189558074041,0.32041754010854645
2.01,2.51,37.0,530,2686.0,0.4046501091655133,0.23092305546516995
2.51,3.01,34.0,759,3974.0,-0.054131674554215,0.16221507954506623
3.01,3.51,77.0,1068,5428.0,0.45133465372197246,0.165394933774005
3.51,4.01,111.0,1449,7202.0,0.529663714066014,0.14518925450182218
4.01,4.51,138.0,1902,9321.0,0.44032860670940643,0.12260891329000313
4.51,5.01,129.0,2371,11400.0,0.05203721704272553,0.09262671212335546
5.01,5.51,192.0,2870,13992.0,0.3213727120929319,0.09536186137833502
5.51,6.01,191.0,3378,16431.0,0.10685553909102082,0.0800892559813516
6.01,6.51,266.0,3859,19509.0,0.3857404789214329,0.08496520019434677
6.51,7.01,280.0,4597,22893.0,0.21534406837862113,0.07263070003554918
7.01,7.51,341.0,5162,25993.0,0.32629046957590213,0.07182265568782872
7.51,8.01,382.0,6099,29771.0,0.23480350805837866,0.0631780435946155
8.01,8.51,397.0,6909,33281.0,0.11720901866874255,0.05607111334389676
8.51,9.01,415.0,7484,37366.0,0.10802171885337179,0.05439064699563971
9.01,9.51,506.0,8449,41139.0,0.17651014580686233,0.05230225554554177
9.51,10.01,517.0,9321,46149.0,0.10080132332277478,0.04841318684412944
10.01,10.51,556.0,10282,50412.0,0.06359421077533656,0.045106441762567305
10.51,11.01,625.0,11091,54437.0,0.1110004240433723,0.0444400169617349
11.01,11.51,665.0,12228,59681.0,0.06564270881414482,0.04132385178185043
11.51,12.01,768.0,12897,65145.0,0.1994614271848771,0.0432818361167351
12.01,12.51,783.0,14152,69976.0,0.09682627459921855,0.03919737325124212
12.51,13.01,811.0,15391,75898.0,0.04095473205503806,0.036552864512292026
13.01,13.51,939.0,16513,81528.0,0.12659819674535058,0.03676514267018385
13.51,14.01,994.0,17844,87008.0,0.09186219983895119,0.03463176603567384
14.01,14.51,1034.0,18905,92878.0,0.07810053167640923,0.03352733167790119
14.51,15.01,1067.0,19973,99166.0,0.06214582011285661,0.03251636086181243
15.01,15.51,1216.0,21256,105386.0,0.13717325770118352,0.03261067968168681
15.51,16.01,1186.0,22645,111625.0,0.03408589930424176,0.03002716093603369
16.01,16.51,1298.0,24207,118137.0,0.049937982087522086,0.029142466144733394
16.51,17.01,1339.0,25379,124471.0,0.03707405449874775,0.028341281303527362
17.01,17.51,1461.0,26767,131883.0,0.07847483725899758,0.02821531536143307
17.51,18.01,1523.0,28247,138560.0,0.060826538050730204,0.027182814660936163
18.01,18.51,1558.0,29380,145029.0,0.04873585854424124,0.026569439394798458
18.51,19.01,1692.0,30843,152716.0,0.08858424476857678,0.0264643886013184
19.01,19.51,1727.0,32331,160397.0,0.06128731269535943,0.025537995355310983
19.51,20.01,1747.0,34068,168258.0,0.01380092911369395,0.024255276647803272
20.01,20.51,1871.0,35639,175738.0,0.0369587269885143,0.023973120988277013
20.51,21.01,1922.0,37075,183658.0,0.028076329086091464,0.0234503143185209
21.01,21.51,2107.0,38597,191625.0,0.08562365727732833,0.023650865093435166
21.51,22.01,2037.0,40050,199340.0,0.013000478569021992,0.02244471711238125
22.01,22.51,2239.0,42007,207145.0,0.05325332224262461,0.02225900724805814
22.51,23.01,2318.0,43368,214791.0,0.06038015097227723,0.022024439956153743
23.01,23.51,2366.0,45416,223643.0,0.027466012945931265,0.021123218664825902
23.51,24.01,2424.0,46915,232167.0,0.02359564898726299,0.020790365452238856
24.01,24.51,2506.0,48797,240226.0,0.012152169242538454,0.020218795370495958
24.51,25.01,2684.0,50250,248869.0,0.05961488446578266,0.02045298945662721
25.01,25.51,2678.0,52256,257329.0,0.010246162208975172,0.019521892770248243
25.51,26.01,2739.0,54246,265223.0,-0.012320350567248077,0.018872093925583255
26.01,26.51,2891.0,55858,274882.0,0.01991722385805323,0.018968844666380727
26.51,27.01,2983.0,57019,283248.0,0.0403641459752931,0.01904841086540075
27.01,27.51,3030.0,59176,292193.0,0.01201102189687259,0.01838501244638452
27.51,28.01,3170.0,61114,300752.0,0.02225052294859232,0.01815631505982508
28.01,28.51,3326.0,62920,309841.0,0.04300445616330004,0.01808527185864212
28.51,29.01,3322.0,64781,319082.0,0.011144125255320155,0.017543379125052563
29.01,29.51,3397.0,66428,327795.0,0.010069788326932162,0.01733020132367167
29.51,30.01,3523.0,68330,336985.0,0.01802418543933521,0.017151486829582684
30.01,30.51,3600.0,70570,346535.0,0.002672153934110895,0.016711202565568514
30.51,31.01,3701.0,72377,355852.0,0.006394534562748724,0.016542788870194444
31.01,31.51,3726.0,74119,365524.0,-0.008129620805210782,0.01624925655117548
31.51,32.01,3760.0,76274,374346.0,-0.03285294596014764,0.015772429353028257
32.01,32.51,3984.0,78358,384682.0,-0.0010326424044194264,0.015826745999766936
32.51,33.01,4061.0,80153,393054.0,-0.005783497477755917,0.015601432367577958
33.01,33.51,4216.0,81973,403905.0,0.014561369822647637,0.015625287649241492
33.51,34.01,4240.0,84322,411967.0,-0.017344957601389214,0.015091004851943148
34.01,34.51,4349.0,86963,420269.0,-0.03414641276901421,0.014666165655201631
34.51,35.01,4418.0,87863,431312.0,-0.012533940710511601,0.014994343859040108
35.01,35.51,4645.0,90619,441398.0,-0.0003957694814290846,0.01517865795420985
35.51,36.01,4663.0,91764,449654.0,-0.0034872462692412142,0.015131714906848759
36.01,36.51,4848.0,93957,460784.0,0.01331706691153858,0.015386882816446493
36.51,37.01,4773.0,95554,471016.0,-0.015079948765362972,0.014955683573065525
37.01,37.51,4971.0,97914,480163.0,-0.003647184839570004,0.015129286292824739
37.51,38.01,5056.0,99856,489767.0,-0.0062581414024829585,0.015089639785345279
38.01,38.51,5121.0,102124,499072.0,-0.019913277099100464,0.014882291089001973
38.51,39.01,5204.0,103910,509650.0,-0.01749833108413402,0.014918961241468257
39.01,39.51,5242.0,105947,517701.0,-0.03367922026833955,0.014673259818021284
39.51,40.01,5507.0,108189,528235.0,-0.005330484734420257,0.015103725943480245
40.01,40.51,5504.0,109469,539613.0,-0.008408833253041162,0.015056982244522753
40.51,41.01,5670.0,110775,548380.0,0.01417489872642252,0.015399908707396963
41.01,41.51,5714.0,113384,557258.0,-0.009039357325273627,0.015047407946083313
41.51,42.01,5788.0,115432,568068.0,-0.01285980902055801,0.014989395657076472
42.01,42.51,5899.0,117208,576263.0,-0.010008507442342239,0.015032691723718352
42.51,43.01,6040.0,119464,585482.0,-0.00854865852151477,0.015054859044301386
43.01,43.51,6026.0,121068,595434.0,-0.02098134543542289,0.014866072826359818
43.51,44.01,6276.0,123358,605141.0,-0.001124183138884441,0.015167597234959038
44.01,44.51,6387.0,125396,614362.0,-0.0011988297322782047,0.015166463751252206
44.51,45.01,6324.0,127206,623789.0,-0.025185448524475403,0.014802234918471152
45.01,45.51,6695.0,128434,633034.0,0.02900725401977395,0.01562513309198795
45.51,46.01,6590.0,131292,643113.0,-0.01654443683462816,0.0149334458085556
46.01,46.51,6810.0,132594,652949.0,0.012529193278728756,0.015374919217235477
46.51,47.01,6742.0,134383,661521.0,-0.011999732011295037,0.015002455640557246
47.01,47.51,6816.0,136245,670786.0,-0.014745551357593503,0.014960761286542862
47.51,48.01,6869.0,138288,680451.0,-0.022565237258461164,0.014842021955540779
48.01,48.51,6945.0,140278,690611.0,-0.025329023031003574,0.01480005478731624
48.51,49.01,7179.0,141501,697868.0,0.0013464395541365793,0.015205112819273659
49.01,49.51,7205.0,143557,705889.0,-0.012747541317298786,0.014991100404830683
49.51,50.01,7359.0,145999,717403.0,-0.009061280251737625,0.015047075053732527
50.01,50.51,7505.0,146944,725176.0,0.008860826473738082,0.015319216286732025
50.51,51.01,7540.0,149117,735278.0,-0.002313565464330648,0.015149536859718963
51.01,51.51,7570.0,150400,742531.0,-0.005760291849292392,0.015097199465316437
51.51,52.01,7586.0,153059,751750.0,-0.026667442723266137,0.01477973132920373
52.01,52.51,7808.0,154643,760251.0,-0.006815218795127702,0.015081180750320396
52.51,53.01,7803.0,155607,771520.0,-0.005252175462776865,0.015104915043738756
53.01,53.51,8062.0,156799,776712.0,0.019473746193994737,0.015480369944760958
53.51,54.01,8162.0,159305,786080.0,0.012004052791516283,0.015366945133503186
54.01,54.51,8238.0,160896,794519.0,0.012041361065714492,0.015367511647244952
54.51,55.01,8253.0,163788,802897.0,-0.0117996849909558,0.01500549328806191
55.01,55.51,8242.0,163969,811154.0,-0.005087958966237152,0.015107408616650228
55.51,56.01,8449.0,166373,819900.0,0.0015657185261911564,0.015208442497572083
56.01,56.51,8489.0,167890,829449.0,-0.0004051934972719309,0.015178514853661985
56.51,57.01,8480.0,169160,838487.0,-0.005841451710154324,0.015095967079808228
57.01,57.51,8522.0,170267,844020.0,-0.007385908276240989,0.015072515020257018
57.51,58.01,8876.0,172567,853626.0,0.01848587531678135,0.015465369453876313
58.01,58.51,8810.0,174288,860782.0,-0.00101645864453423,0.015169232995596207
58.51,59.01,9067.0,175507,869332.0,0.024375803691223524,0.015554806058325332
59.01,59.51,8873.0,176865,876142.0,-0.005687488396402589,0.015098304961547408
59.51,60.01,9022.0,178912,883928.0,-0.0031263663569663595,0.015137194748353754
60.01,60.51,9061.0,179816,890620.0,-0.001359126024929035,0.015164029705333641
60.51,61.01,9026.0,181934,897752.0,-0.020895194820318683,0.01486738099481218
61.01,61.51,9137.0,182709,906015.0,-0.007884218559947219,0.015064948344246135
61.51,62.01,9314.0,183841,915019.0,0.009010429973927217,0.015321487966151537
62.01,62.51,9389.0,185731,919389.0,0.001323386666291744,0.015204762768834928
