r min,r max,DD count,DR count,RR count,Landy Szalay,Pois Error
0.01,0.51,64.0,38,89.0,16.844177671924495,2.230522208990562
0.51,1.01,270.0,287,607.0,9.75711491598913,0.6546571659069484
1.01,1.51,557.0,660,1614.0,7.583754715868116,0.36370536002205933
1.51,2.01,875.0,1237,3172.0,5.946996808013083,0.2348513563951072
2.01,2.51,1059.0,2107,5103.0,4.124109134199722,0.15746005209826558
2.51,3.01,1252.0,3174,7609.0,3.0282325733243582,0.11384458348613032
3.01,3.51,1509.0,4366,10813.0,2.470309340777784,0.08933539650504763
3.51,4.01,1765.0,5685,14195.0,2.1063120009183023,0.07393885478975089
4.01,4.51,1988.0,7332,17943.0,1.7270082816496548,0.06116151954399501
4.51,5.01,2204.0,8993,22382.0,1.4530563730159989,0.05225185748222057
5.01,5.51,2462.0,11065,27077.0,1.2301226499408815,0.044945345606699494
5.51,6.01,2673.0,13210,31943.0,1.0244706988903192,0.03915723486820223
6.01,6.51,3018.0,15650,37885.0,0.9262927703223007,0.035064098443669096
6.51,7.01,3321.0,17965,43805.0,0.8449592321485314,0.03201491375730558
7.01,7.51,3580.0,20843,50297.0,0.7076216278519911,0.028539747955826283
7.51,8.01,3949.0,23558,57432.0,0.6682207582859552,0.026546664067281234
8.01,8.51,4352.0,26717,64328.0,0.6148858439635471,0.024479209220501563
8.51,9.01,4679.0,29777,71954.0,0.556693674234839,0.02275760934161724
9.01,9.51,5056.0,32910,80070.0,0.5237093044998266,0.02142883628776452
9.51,10.01,5575.0,36523,88253.0,0.5102127226849116,0.02022626480442944
10.01,10.51,5883.0,40625,97869.0,0.4274574142651675,0.018610744054027895
10.51,11.01,6535.0,43798,106677.0,0.4788234681058775,0.018293362398782927
11.01,11.51,6730.0,48134,115926.0,0.37544877547862104,0.01676628672587908
11.51,12.01,7258.0,52368,124411.0,0.3539940539963924,0.01589308752976136
12.01,12.51,7893.0,56528,135505.0,0.3705504621878004,0.015426733569628493
12.51,13.01,8215.0,61049,146916.0,0.32037719882902,0.01456780877859001
13.01,13.51,8730.0,65556,157321.0,0.30393283379952235,0.013955586707500597
13.51,14.01,9149.0,70208,168227.0,0.2730674661616922,0.013309587811343945
14.01,14.51,9702.0,75138,179517.0,0.25849317747396655,0.012776745093623715
14.51,15.01,10246.0,80263,190899.0,0.23972111089845902,0.012397211108984589
15.01,15.51,10700.0,85063,203772.0,0.2256782503985534,0.012256782503985535
15.51,16.01,11252.0,90310,215481.0,0.21005349543869345,0.012100534954386934
16.01,16.51,11813.0,95510,228565.0,0.20288836594770113,0.012028883659477012
16.51,17.01,12599.0,101226,241085.0,0.20725189505797562,0.012072518950579756
17.01,17.51,12943.0,106536,254154.0,0.17739458040738654,0.011773945804073866
17.51,18.01,13331.0,111716,267625.0,0.15827309207460694,0.011582730920746069
18.01,18.51,14085.0,117408,280243.0,0.16188776746352887,0.011618877674635288
18.51,19.01,14604.0,124334,295138.0,0.1308189535779603,0.011308189535779603
19.01,19.51,15362.0,129772,308680.0,0.14226287505736449,0.011422628750573644
19.51,20.01,15641.0,136423,323565.0,0.10050508376528029,0.011005050837652804
20.01,20.51,16525.0,142605,338130.0,0.11320295095179529,0.011132029509517954
20.51,21.01,17106.0,148519,352935.0,0.10777924354779808,0.01107779243547798
21.01,21.51,17770.0,155142,366384.0,0.09546011221656878,0.010954601122165689
21.51,22.01,18391.0,161645,381959.0,0.08786793917296842,0.010878679391729684
22.01,22.51,18910.0,168298,398149.0,0.07400157625004274,0.010740015762500428
22.51,23.01,19374.0,175706,413407.0,0.046644886214281644,0.010466448862142817
23.01,23.51,20157.0,182099,429673.0,0.053905011326760705,0.010539050113267607
23.51,24.01,20870.0,189390,445876.0,0.04650773572566694,0.010465077357256668
24.01,24.51,21480.0,195272,460978.0,0.04703151017278403,0.01047031510172784
24.51,25.01,22014.0,202584,478037.0,0.03248972527908979,0.010324897252790899
25.01,25.51,23220.0,209694,495131.0,0.05499234353022643,0.010549923435302264
25.51,26.01,23474.0,217268,510855.0,0.022381457547189506,0.010223814575471895
26.01,26.51,24396.0,223747,527231.0,0.03502671804140499,0.01035026718041405
26.51,27.01,25237.0,230028,543476.0,0.044775632866777715,0.010447756328667776
27.01,27.51,25852.0,238449,561102.0,0.027147566878957925,0.01027147566878958
27.51,28.01,26682.0,244973,578468.0,0.035837534032882756,0.010358375340328827
28.01,28.51,27529.0,253011,596397.0,0.03294343299237044,0.010329434329923703
28.51,29.01,28198.0,260249,612895.0,0.027219061242405477,0.010272190612424055
29.01,29.51,28709.0,267599,630683.0,0.01664415188355199,0.010166441518835521
29.51,30.01,29892.0,275517,647893.0,0.02731213592213194,0.01027312135922132
30.01,30.51,30566.0,283410,665402.0,0.018923115821430306,0.010189231158214303
30.51,31.01,31223.0,289805,685180.0,0.024550384928375545,0.010245503849283754
31.01,31.51,31924.0,297898,702331.0,0.015711458251790916,0.01015711458251791
