r min,r max,DD count,DR count,RR count,Landy Szalay,Pois Error
0.01,0.51,5.0,5,36.0,13.503891270363514,6.486337363759719
0.51,1.01,37.0,54,237.0,14.337729395797611,2.521507180232737
1.01,1.51,61.0,157,630.0,8.19323586269325,1.1770732363464491
1.51,2.01,107.0,252,1222.0,7.696434094766532,0.84071601639916
2.01,2.51,121.0,439,2057.0,4.749872606227668,0.5227156914752425
2.51,3.01,153.0,635,2951.0,4.0343730859952345,0.4070049410259823
3.01,3.51,175.0,953,4298.0,2.8555473380532543,0.29145198355788543
3.51,4.01,207.0,1128,5505.0,2.7122766614327465,0.2580210642921343
4.01,4.51,198.0,1439,7090.0,1.7638828432597122,0.19642060070198403
4.51,5.01,243.0,1944,8833.0,1.551039478357792,0.16364925883813708
5.01,5.51,256.0,2293,10652.0,1.2513893495753121,0.14071183434845702
5.51,6.01,309.0,2715,12732.0,1.2952715860708566,0.13057343844714403
6.01,6.51,311.0,3174,14849.0,0.957545594101393,0.111002226926269
6.51,7.01,353.0,3661,17446.0,0.9255364101908504,0.10248596210056743
7.01,7.51,394.0,4268,20065.0,0.8371408483752474,0.0925538188442932
7.51,8.01,449.0,4917,22939.0,0.8144624827236607,0.08562977883156789
8.01,8.51,486.0,5436,25332.0,0.7732172698153473,0.08043476878034601
8.51,9.01,514.0,6019,28383.0,0.6908746496444699,0.07458128358709479
9.01,9.51,530.0,6644,31628.0,0.57558906340884,0.06843921551458618
9.51,10.01,626.0,7399,34991.0,0.6750485374870843,0.06694840418250503
10.01,10.51,616.0,8231,38515.0,0.46279637441017724,0.05893774550963945
10.51,11.01,681.0,8918,41919.0,0.49764104388127545,0.057389729498070204
11.01,11.51,730.0,9772,45602.0,0.458428041033016,0.05397884353280371
11.51,12.01,782.0,10540,49573.0,0.45181677111152946,0.05191686174159156
12.01,12.51,830.0,11328,53783.0,0.43748926946689287,0.04989598095499072
12.51,13.01,879.0,12158,57543.0,0.4151868794045853,0.04773306874373199
13.01,13.51,918.0,13005,62220.0,0.38571906078754936,0.04573554410982456
13.51,14.01,989.0,13891,66209.0,0.3961799759251073,0.04439594035374245
14.01,14.51,1005.0,15176,70692.0,0.27534259721168985,0.04022942588117576
14.51,15.01,1102.0,16035,76462.0,0.34458255184291964,0.04050388431912252
15.01,15.51,1084.0,17110,79457.0,0.21133824812889554,0.03679177911569564
15.51,16.01,1174.0,17989,85593.0,0.2703616834171628,0.03707603962656387
16.01,16.51,1198.0,19299,89623.0,0.18379362210973357,0.03420169161467374
16.51,17.01,1362.0,20333,95406.0,0.29683665996987424,0.03513959285175264
17.01,17.51,1404.0,21598,100526.0,0.24860783801960354,0.033322877988106736
17.51,18.01,1393.0,22557,105543.0,0.18303953734067555,0.0316974044119481
18.01,18.51,1440.0,23901,111391.0,0.14748281185366577,0.030238827177933688
18.51,19.01,1459.0,25240,116112.0,0.0831972276752831,0.028358280495866833
19.01,19.51,1599.0,26099,121948.0,0.17146931642355817,0.0292958893069079
19.51,20.01,1630.0,27285,128088.0,0.1428046672971971,0.02830598050355512
20.01,20.51,1776.0,28335,133827.0,0.21023360732608357,0.02871757262804856
