r min,r max,DD count,DR count,RR count,Landy Szalay,Pois Error
1.9867999999999997,2.501243269175614,0.0,0,7.0,1.0,inf
2.501243269175614,3.148891630559852,0.0,2,11.0,-0.8169449598021026,inf
3.148891630559852,3.9642359554566404,2.0,5,14.0,11.804777879840783,9.05434527042292
3.9642359554566404,4.9906978563568964,2.0,7,33.0,4.97819684121054,4.227223525687971
4.9906978563568964,6.282942128901679,2.0,22,70.0,0.7340362368039193,1.2261487818672532
6.282942128901679,7.909787955775735,3.0,26,135.0,1.3113050801243888,1.3344326101891655
7.909787955775735,9.957873910303201,9.0,58,291.0,2.120077329995219,1.040025776665073
9.957873910303201,12.53627194153681,12.0,145,490.0,0.5069054180240731,0.4350061243697521
12.53627194153681,15.782296061165722,17.0,228,1083.0,0.4755590696795549,0.35787564124276083
15.782296061165722,19.868815077072455,30.0,466,1965.0,0.1662408237720827,0.2129254688877923
19.868815077072455,25.013458817204786,49.0,902,3793.0,-0.0766302309850188,0.13190996700214017
25.013458817204786,31.49020812630102,88.0,1519,6673.0,0.05208750317335522,0.11215290467267244
31.49020812630102,39.643985867148025,155.0,2689,12265.0,0.08062294840703484,0.08912827859361266
39.643985867148025,49.90902597820472,240.0,4619,21333.0,-0.031764544405993786,0.07985871441801992
49.90902597820472,62.831998841904316,422.0,7811,35550.0,-0.0013144011048341563,0.08237019990827524
62.831998841904316,79.10112451789968,606.0,12012,54840.0,-0.07703727334883452,0.07612468266914878
79.10112451789968,99.5828242825744,778.0,14990,72248.0,0.010098021124619602,0.08331148062917249
99.5828242825744,125.36786237280404,688.0,13935,71713.0,0.02345328611839496,0.08441300432049463
125.36786237280404,157.8294352380265,504.0,12072,66313.0,-0.05450202252218365,0.07798335883072344
157.8294352380265,198.69630187583152,488.0,11882,68018.0,-0.023822343353509107,0.08051377612024994
198.69630187583152,250.14484984749842,657.0,14759,80864.0,-0.006437953099720306,0.08194761646206744
250.14484984749842,314.9149999999999,1059.0,21402,106993.0,-0.003071228436320506,0.08222529923216762
