Slice center (h^-1 Mpc), Completeness
5.019306490698548259e+03,7.293927591181489367e-01
5.019406491847037614e+03,7.294507020642024830e-01
5.019506492995527879e+03,7.295086423179889534e-01
5.019606494144018143e+03,7.295665798781352240e-01
5.019706495292507498e+03,7.296245147432678380e-01
5.019806496440997762e+03,7.296824469120152257e-01
5.019906497589487117e+03,7.297403763830034862e-01
5.020006498737977381e+03,7.297983031548607169e-01
5.020106499886467645e+03,7.298562272262136830e-01
5.020206501034957000e+03,7.299141485956889275e-01
5.020306502183446355e+03,7.299720672619138817e-01
5.020406503331936619e+03,7.300299832235164210e-01
5.020506504480426884e+03,7.300878964791228665e-01
5.020606505628917148e+03,7.301458070273602052e-01
5.020706506777406503e+03,7.302037148668548694e-01
5.020806507925895858e+03,7.302616199962344012e-01
5.020906509074386122e+03,7.303195224141262321e-01
5.021006510222876386e+03,7.303774221191566829e-01
5.021106511371366651e+03,7.304353191099526299e-01
5.021206512519856005e+03,7.304932133851402831e-01
5.021306513668345360e+03,7.305511049433471849e-01
5.021406514816835625e+03,7.306089937832004333e-01
5.021506515965325889e+03,7.306668799033263495e-01
5.021606517113816153e+03,7.307247633023515876e-01
5.021706518262305508e+03,7.307826439789024686e-01
5.021806519410794863e+03,7.308405219316058687e-01
5.021906520559285127e+03,7.308983971590893303e-01
5.022006521707775391e+03,7.309562696599788412e-01
5.022106522856264746e+03,7.310141394329003894e-01
5.022206524004755011e+03,7.310720064764814063e-01
5.022306525153244365e+03,7.311298707893476578e-01
5.022406526301734630e+03,7.311877323701266862e-01
5.022506527450224894e+03,7.312455912174441464e-01
5.022606528598714249e+03,7.313034473299263594e-01
5.022706529747204513e+03,7.313613007062006455e-01
5.022806530895693868e+03,7.314191513448922155e-01
5.022906532044184132e+03,7.314769992446286118e-01
5.023006533192674397e+03,7.315348444040357112e-01
5.023106534341163751e+03,7.315926868217391688e-01
5.023206535489654016e+03,7.316505264963664157e-01
5.023306536638143371e+03,7.317083634265427738e-01
5.023406537786633635e+03,7.317661976108952304e-01
5.023506538935123899e+03,7.318240290480497734e-01
5.023606540083613254e+03,7.318818577366319467e-01
5.023706541232102609e+03,7.319396836752684044e-01
5.023806542380592873e+03,7.319975068625858006e-01
5.023906543529083137e+03,7.320553272972099013e-01
5.024006544677573402e+03,7.321131449777664724e-01
5.024106545826062757e+03,7.321709599028813908e-01
5.024206546974552111e+03,7.322287720711810888e-01
5.024306548123042376e+03,7.322865814812918872e-01
5.024406549271532640e+03,7.323443881318394411e-01
5.024506550420022904e+03,7.324021920214497383e-01
5.024606551568512259e+03,7.324599931487481008e-01
5.024706552717001614e+03,7.325177915123610717e-01
5.024806553865491878e+03,7.325755871109148609e-01
5.024906555013982143e+03,7.326333799430349014e-01
5.025006556162472407e+03,7.326911700073470701e-01
5.025106557310961762e+03,7.327489573024765779e-01
5.025206558459451117e+03,7.328067418270497457e-01
5.025306559607941381e+03,7.328645235796927837e-01
5.025406560756431645e+03,7.329223025590311247e-01
5.025506561904921000e+03,7.329800787636895354e-01
5.025606563053411264e+03,7.330378521922951141e-01
5.025706564201900619e+03,7.330956228434724053e-01
5.025806565350390883e+03,7.331533907158478414e-01
5.025906566498881148e+03,7.332111558080467439e-01
5.026006567647370503e+03,7.332689181186941019e-01
5.026106568795860767e+03,7.333266776464165693e-01
5.026206569944350122e+03,7.333844343898384688e-01
5.026306571092840386e+03,7.334421883475864545e-01
5.026406572241330650e+03,7.334999395182855153e-01
5.026506573389820005e+03,7.335576879005604178e-01
5.026606574538310269e+03,7.336154334930378162e-01
5.026706575686799624e+03,7.336731762943419222e-01
