Slice center (h^-1 Mpc), Completeness
5.019306490698548259e+03,1.000000000000000000e+00
5.019406491847037614e+03,9.997858780649596655e-01
5.019506492995527879e+03,9.995717660789031900e-01
5.019606494144018143e+03,9.993576640469048478e-01
5.019706495292507498e+03,9.991435719740401344e-01
5.019806496440997762e+03,9.989294898653773291e-01
5.019906497589487117e+03,9.987154177259938148e-01
5.020006498737977381e+03,9.985013555609590918e-01
5.020106499886467645e+03,9.982873033753479897e-01
5.020206501034957000e+03,9.980732611742357818e-01
5.020306502183446355e+03,9.978592289626947442e-01
5.020406503331936619e+03,9.976452067457954875e-01
5.020506504480426884e+03,9.974311945286141734e-01
5.020606505628917148e+03,9.972171923162246321e-01
5.020706506777406503e+03,9.970032001137028033e-01
5.020806507925895858e+03,9.967892179261204078e-01
5.020906509074386122e+03,9.965752457585496105e-01
5.021006510222876386e+03,9.963612836160667952e-01
5.021106511371366651e+03,9.961473315037461251e-01
5.021206512519856005e+03,9.959333894266643172e-01
5.021306513668345360e+03,9.957194573898929812e-01
5.021406514816835625e+03,9.955055353985058364e-01
5.021506515965325889e+03,9.952916234575788224e-01
5.021606517113816153e+03,9.950777215721873237e-01
5.021706518262305508e+03,9.948638297474073910e-01
5.021806519410794863e+03,9.946499479883132988e-01
5.021906520559285127e+03,9.944360762999768788e-01
5.022006521707775391e+03,9.942222146874756250e-01
5.022106522856264746e+03,9.940083631558870314e-01
5.022206524004755011e+03,9.937945217102832629e-01
5.022306525153244365e+03,9.935806903557427017e-01
5.022406526301734630e+03,9.933668690973370685e-01
5.022506527450224894e+03,9.931530579401451897e-01
5.022606528598714249e+03,9.929392568892432269e-01
5.022706529747204513e+03,9.927254659497039002e-01
5.022806530895693868e+03,9.925116851266074791e-01
5.022906532044184132e+03,9.922979144250257955e-01
5.023006533192674397e+03,9.920841538500367873e-01
5.023106534341163751e+03,9.918704034067191699e-01
5.023206535489654016e+03,9.916566631001451082e-01
5.023306536638143371e+03,9.914429329353945386e-01
5.023406537786633635e+03,9.912292129175414024e-01
5.023506538935123899e+03,9.910155030516631935e-01
5.023606540083613254e+03,9.908018033428389604e-01
5.023706541232102609e+03,9.905881137961438654e-01
5.023806542380592873e+03,9.903744344166528490e-01
5.023906543529083137e+03,9.901607652094444045e-01
5.024006544677573402e+03,9.899471061795966920e-01
5.024106545826062757e+03,9.897334573321877604e-01
5.024206546974552111e+03,9.895198186722935496e-01
5.024306548123042376e+03,9.893061902049901102e-01
5.024406549271532640e+03,9.890925719353562684e-01
5.024506550420022904e+03,9.888789638684696293e-01
5.024606551568512259e+03,9.886653660094101292e-01
5.024706552717001614e+03,9.884517783632532639e-01
5.024806553865491878e+03,9.882382009350756391e-01
5.024906555013982143e+03,9.880246337299568582e-01
5.025006556162472407e+03,9.878110767529748593e-01
5.025106557310961762e+03,9.875975300092100229e-01
5.025206558459451117e+03,9.873839935037386217e-01
5.025306559607941381e+03,9.871704672416373727e-01
5.025406560756431645e+03,9.869569512279857681e-01
5.025506561904921000e+03,9.867434454678659650e-01
5.025606563053411264e+03,9.865299499663512384e-01
5.025706564201900619e+03,9.863164647285245223e-01
5.025806565350390883e+03,9.861029897594616456e-01
5.025906566498881148e+03,9.858895250642426555e-01
5.026006567647370503e+03,9.856760706479487100e-01
5.026106568795860767e+03,9.854626265156548603e-01
5.026206569944350122e+03,9.852491926724447069e-01
5.026306571092840386e+03,9.850357691233934121e-01
5.026406572241330650e+03,9.848223558735821337e-01
5.026506573389820005e+03,9.846089529280929176e-01
5.026606574538310269e+03,9.843955602920007042e-01
5.026706575686799624e+03,9.841821779703897599e-01
5.026806576835289889e+03,9.839688059683354693e-01
5.026906577983780153e+03,9.837554442909194341e-01
5.027006579132269508e+03,9.835420929432240333e-01
5.027106580280758863e+03,9.833287519303276492e-01
5.027206581429249127e+03,9.831154212573074425e-01
5.027306582577739391e+03,9.829021009292462363e-01
5.027406583726229655e+03,9.826887909512243002e-01
5.027506584874719010e+03,9.824754913283239022e-01
5.027606586023208365e+03,9.822622020656235353e-01
5.027706587171698629e+03,9.820489231682020259e-01
5.027806588320188894e+03,9.818356546411415309e-01
5.027906589468679158e+03,9.816223964895230969e-01
5.028006590617168513e+03,9.814091487184299911e-01
5.028106591765657868e+03,9.811959113329398185e-01
5.028206592914148132e+03,9.809826843381332928e-01
5.028306594062638396e+03,9.807694677390925708e-01
5.028406595211128661e+03,9.805562615408986993e-01
5.028506596359618015e+03,9.803430657486349453e-01
5.028606597508107370e+03,9.801298803673810234e-01
5.028706598656597635e+03,9.799167054022167589e-01
5.028806599805087899e+03,9.797035408582246419e-01
5.028906600953577254e+03,9.794903867404887166e-01
5.029006602102067518e+03,9.792772430540874762e-01
5.029106603250556873e+03,9.790641098041051871e-01
5.029206604399047137e+03,9.788509869956211196e-01
5.029306605547537401e+03,9.786378746337185408e-01
5.029406606696026756e+03,9.784247727234818282e-01
5.029506607844517021e+03,9.782116812699891417e-01
5.029606608993006375e+03,9.779986002783259691e-01
5.029706610141496640e+03,9.777855297535711365e-01
5.029806611289986904e+03,9.775724697008091324e-01
5.029906612438476259e+03,9.773594201251240010e-01
5.030006613586966523e+03,9.771463810315949017e-01
5.030106614735455878e+03,9.769333524253085432e-01
5.030206615883946142e+03,9.767203343113426417e-01
5.030306617032436407e+03,9.765073266947829067e-01
5.030406618180925761e+03,9.762943295807140487e-01
5.030506619329416026e+03,9.760813429742150049e-01
5.030606620477905381e+03,9.758683668803723732e-01
5.030706621626395645e+03,9.756554013042662010e-01
5.030806622774885909e+03,9.754424462509808658e-01
5.030906623923375264e+03,9.752295017256017440e-01
5.031006625071864619e+03,9.750165677332108816e-01
