
2.244	0.0	0.9	0.0	\ldots	\ldots
2.825	0.0	5.4	0.0	\ldots	\ldots
3.557	0.0	6.3	0.0	\ldots	\ldots
4.477	1.8	14.4	0.9	16.5	12.8
5.637	0.0	34.2	3.6	\ldots	\ldots
7.096	1.8	38.7	11.7	3.54	3.61
8.934	1.8	99.0	18.0	1.26	1.88
11.25	2.7	215.0	36.9	0.663	0.733
14.16	4.5	406.5	80.0	0.191	0.786
17.83	8.9	804.2	162.4	0.131	0.472
22.44	15.2	1592.4	279.4	0.236	0.175
28.25	22.4	3123.6	607.3	-0.280	0.223
35.57	70.7	6028.6	1139.3	0.361	0.170
44.77	104.9	11959.1	2137.1	0.101	0.121
56.37	210.9	23480.2	4381.2	0.0384	0.0862
70.96	384.8	45648.7	8239.8	0.0368	0.0644
89.34	734.2	88337.9	16036.1	0.0101	0.0382
112.5	1417.1	168480.9	30636.2	0.0194	0.0250
141.6	2565.8	317727.8	57230.3	-0.00396	0.0219
178.3	4821.6	588892.8	106083.7	0.0101	0.0134
224.4	8631.8	1070807.1	192603.7	-0.00296	0.00672
282.5	15376.1	1912774.1	342706.1	0.00214	0.00953
